#Run	AvgSpotLen	Library~Name	Sample~Name	sample-type	Oocyte_ID	Donor	SRA~Study	Bases	Note
SRR926941	202	S0304A	S0304A	PB1	S0304	S03	SRP026609	774994008	NA
SRR926942	202	S0304B	S0304B	PB2	S0304	S03	SRP026609	1201089778	NA
SRR926943	202	S0305A	S0305A	PB1	S0305	S03	SRP026609	1197390956	NA
SRR926944	202	S0305B	S0305B	PB2	S0305	S03	SRP026609	1168844114	NA
SRR926945	202	S0305C	S0305C	FPN	S0305	S03	SRP026609	1280852306	NA
SRR926946	202	S0306A	S0306A	PB1	S0306	S03	SRP026609	1215287146	NA
SRR926947	202	S0306C	S0306C	FPN	S0306	S03	SRP026609	1461864910	NA
SRR926948	202	S0307A	S0307A	PB1	S0307	S03	SRP026609	1529204640	NA
SRR926949	202	S0307B	S0307B	PB2	S0307	S03	SRP026609	1392159760	NA
SRR926950	202	S0307C	S0307C	FPN	S0307	S03	SRP026609	1263072064	NA
SRR926951	202	S0401A	S0401A	PB1	S0401	S04	SRP026609	994025840	NA
SRR926952	202	S0401B	S0401B	PB2	S0401	S04	SRP026609	1071751804	NA
SRR926953	202	S0401C	S0401C	FPN	S0401	S04	SRP026609	1410611854	NA
SRR926954	202	S0402A	S0402A	PB1	S0402	S04	SRP026609	851490600	NA
SRR926955	202	S0402B	S0402B	PB2	S0402	S04	SRP026609	1085483764	NA
SRR926956	202	S0402C	S0402C	FPN	S0402	S04	SRP026609	1465751794	NA
SRR926957	202	S0403B	S0403B	PB2	S0403	S04	SRP026609	1009213008	NA
SRR926958	202	S0403C	S0403C	FPN	S0403	S04	SRP026609	989410544	NA
SRR926959	202	S0404A	S0404A	PB1	S0404	S04	SRP026609	1060438794	NA
SRR926960	202	S0404B	S0404B	PB2	S0404	S04	SRP026609	1436115566	NA
SRR926961	202	S0404C	S0404C	FPN	S0404	S04	SRP026609	1544374032	NA
SRR926962	202	S0501A	S0501A	PB1	S0501	S05	SRP026609	3263835402	NA
SRR926963	202	S0501B	S0501B	PB2	S0501	S05	SRP026609	2771865614	NA
SRR926964	202	S0501C	S0501C	FPN	S0501	S05	SRP026609	3029131400	NA
SRR926965	202	S0502A	S0502A	PB1	S0502	S05	SRP026609	2010103212	NA
SRR926966	202	S0502B	S0502B	PB2	S0502	S05	SRP026609	3285289014	NA
SRR926967	202	S0503A	S0503A	PB1	S0503	S05	SRP026609	3383133572	NA
SRR926968	202	S0503B	S0503B	PB2	S0503	S05	SRP026609	2433654590	NA
SRR926969	202	S0503C	S0503C	FPN	S0503	S05	SRP026609	2860091538	NA
SRR926970	202	S0504A	S0504A	PB1	S0504	S05	SRP026609	3123779510	NA
SRR926971	202	S0504B	S0504B	PB2	S0504	S05	SRP026609	2368815822	NA
SRR926972	202	S0504C	S0504C	FPN	S0504	S05	SRP026609	2904654152	NA
SRR926973	202	S0505A	S0505A	PB1	S0505	S05	SRP026609	2055996400	NA
SRR926974	202	S0505B	S0505B	PB2	S0505	S05	SRP026609	2081150450	NA
SRR926975	202	S0505C	S0505C	FPN	S0505	S05	SRP026609	2495186416	NA
SRR926976	202	S0506A	S0506A	PB1	S0506	S05	SRP026609	2138699038	NA
SRR926977	202	S0506B	S0506B	PB2	S0506	S05	SRP026609	2198495078	NA
SRR926978	202	S0507A	S0507A	PB1	S0507	S05	SRP026609	2253571388	NA
SRR926979	202	S0507B	S0507B	PB2	S0507	S05	SRP026609	3323174316	NA
SRR926980	202	S0507C	S0507C	FPN	S0507	S05	SRP026609	3077561102	NA
SRR926981	202	S0508A	S0508A	PB1	S0508	S05	SRP026609	2700072188	NA
SRR926982	202	S0508B	S0508B	PB2	S0508	S05	SRP026609	3587095194	NA
SRR926983	202	S0509A	S0509A	PB1	S0509	S05	SRP026609	1762156494	NA
SRR926984	202	S0509B	S0509B	PB2	S0509	S05	SRP026609	3453214846	NA
SRR926985	202	S0509C	S0509C	FPN	S0509	S05	SRP026609	2956683898	NA
SRR926986	202	S0510A	S0510A	PB1	S0510	S05	SRP026609	1791682228	NA
SRR926987	202	S0510C	S0510C	FPN	S0510	S05	SRP026609	2951348876	NA
SRR926988	202	S0511A	S0511A	PB1	S0511	S05	SRP026609	2058994282	NA
SRR926989	202	S0511B	S0511B	PB2	S0511	S05	SRP026609	2669152250	NA
SRR926990	202	S0511C	S0511C	FPN	S0511	S05	SRP026609	3001682630	NA
SRR926991	202	S0512A	S0512A	PB1	S0512	S05	SRP026609	2171488284	NA
SRR926992	202	S0512B	S0512B	PB2	S0512	S05	SRP026609	3774522914	NA
SRR926993	202	S0601A	S0601A	PB1	S0601	S06	SRP026609	1272353560	NA
SRR926994	202	S0601C	S0601C	FPN	S0601	S06	SRP026609	2981266894	NA
SRR926995	202	S0602A	S0602A	PB1	S0602	S06	SRP026609	1179814532	NA
SRR926996	202	S0602B	S0602B	PB2	S0602	S06	SRP026609	3616921908	NA
SRR926997	202	S0602C	S0602C	FPN	S0602	S06	SRP026609	2905284796	NA
SRR926998	202	S0603A	S0603A	PB1	S0603	S06	SRP026609	1137561384	NA
SRR926999	202	S0603B	S0603B	PB2	S0603	S06	SRP026609	3839914354	NA
SRR927000	202	S0604A	S0604A	PB1	S0604	S06	SRP026609	1197981806	NA
SRR927001	202	S0604B	S0604B	PB2	S0604	S06	SRP026609	3165711478	NA
SRR927002	202	S0604C	S0604C	FPN	S0604	S06	SRP026609	3168812986	NA
SRR927003	202	S0606A	S0606A	PB1	S0606	S06	SRP026609	1157725630	NA
SRR927004	202	S0606B	S0606B	PB2	S0606	S06	SRP026609	2522770728	NA
SRR927005	202	S0607A	S0607A	PB1	S0607	S06	SRP026609	1204380156	NA
SRR927006	202	S0607B	S0607B	PB2	S0607	S06	SRP026609	3783028124	NA
SRR927007	202	S0607C	S0607C	FPN	S0607	S06	SRP026609	2622028478	NA
SRR927008	202	S0608A	S0608A	PB1	S0608	S06	SRP026609	876452548	NA
SRR927009	202	S0608B	S0608B	PB2	S0608	S06	SRP026609	2320086352	NA
SRR927010	202	S0608C	S0608C	FPN	S0608	S06	SRP026609	2865036094	NA
SRR927011	202	S0609A	S0609A	PB1	S0609	S06	SRP026609	1111251894	NA
SRR927012	202	S0609B	S0609B	PB2	S0609	S06	SRP026609	2328523690	NA
SRR927013	202	S0702A	S0702A	PB1	S0702	S07	SRP026609	1888662428	NA
SRR927014	202	S0702B	S0702B	PB2	S0702	S07	SRP026609	2928808504	NA
SRR927015	202	S0702C	S0702C	FPN	S0702	S07	SRP026609	2862750868	NA
SRR927016	202	S0703A	S0703A	PB1	S0703	S07	SRP026609	1063421324	NA
SRR927017	202	S0703B	S0703B	PB2	S0703	S07	SRP026609	2886709886	NA
SRR927018	202	S0703C	S0703C	FPN	S0703	S07	SRP026609	3215480642	NA
SRR927019	202	S0704A	S0704A	PB1	S0704	S07	SRP026609	949339602	NA
SRR927020	202	S0704B	S0704B	PB2	S0704	S07	SRP026609	3537732656	NA
SRR927021	202	S0704C	S0704C	FPN	S0704	S07	SRP026609	3192110858	NA
SRR927022	202	S0705A	S0705A	PB1	S0705	S07	SRP026609	894175220	NA
SRR927023	202	S0705B	S0705B	PB2	S0705	S07	SRP026609	3607588902	NA
SRR927024	202	S0706A	S0706A	PB1	S0706	S07	SRP026609	929988406	NA
SRR927025	202	S0706B	S0706B	PB2	S0706	S07	SRP026609	2765731884	NA
SRR927026	202	S0706C	S0706C	FPN	S0706	S07	SRP026609	3467853180	NA
SRR927027	202	S0707A	S0707A	PB1	S0707	S07	SRP026609	947917118	NA
SRR927028	202	S0707B	S0707B	PB2	S0707	S07	SRP026609	2866257386	NA
SRR927029	202	S0801A	S0801A	PB1	S0801	S08	SRP026609	2329424004	NA
SRR927030	202	S0801B	S0801B	PB2	S0801	S08	SRP026609	3808654652	NA
SRR927031	202	S0801C	S0801C	FPN	S0801	S08	SRP026609	3221101494	NA
SRR927032	202	S0802A	S0802A	PB1	S0802	S08	SRP026609	2103200568	NA
SRR927033	202	S0802B	S0802B	PB2	S0802	S08	SRP026609	3475920454	NA
SRR927034	202	S0802C	S0802C	FPN	S0802	S08	SRP026609	3716194808	NA
SRR927035	202	S0803A	S0803A	PB1	S0803	S08	SRP026609	1741482400	NA
SRR927036	202	S0803B	S0803B	PB2	S0803	S08	SRP026609	4534035440	NA
SRR927037	202	S0803C	S0803C	FPN	S0803	S08	SRP026609	3547032332	NA
SRR927038	202	S0804A	S0804A	PB1	S0804	S08	SRP026609	2347515730	NA
SRR927039	202	S0804B	S0804B	PB2	S0804	S08	SRP026609	3269961658	NA
SRR927040	202	S0805A	S0805A	PB1	S0805	S08	SRP026609	2070418594	NA
SRR927041	202	S0805C	S0805C	FPN	S0805	S08	SRP026609	3172741886	NA
SRR927042	202	S0806A	S0806A	PB1	S0806	S08	SRP026609	1809139876	NA
SRR927043	202	S0806B	S0806B	PB2	S0806	S08	SRP026609	3460504218	NA
SRR927044	202	S0806C	S0806C	FPN	S0806	S08	SRP026609	3129894454	NA
SRR927045	202	S0807A	S0807A	PB1	S0807	S08	SRP026609	1925053132	NA
SRR927046	202	S0807B	S0807B	PB2	S0807	S08	SRP026609	3362125572	NA
SRR927047	202	S0807C	S0807C	FPN	S0807	S08	SRP026609	3264016192	NA
SRR927048	202	S0808A	S0808A	PB1	S0808	S08	SRP026609	2188348820	NA
SRR927049	202	S0808B	S0808B	PB2	S0808	S08	SRP026609	3280797948	NA
SRR927050	202	S0808C	S0808C	FPN	S0808	S08	SRP026609	3371698554	NA
SRR927051	202	S0809A	S0809A	PB1	S0809	S08	SRP026609	2176657060	NA
SRR927052	202	S0809B	S0809B	PB2	S0809	S08	SRP026609	3072511102	NA
SRR927053	202	S0809C	S0809C	FPN	S0809	S08	SRP026609	3198179140	NA
SRR927054	202	S0811A	S0811A	PB1	S0811	S08	SRP026609	2257084774	NA
SRR927055	202	S0811B	S0811B	PB2	S0811	S08	SRP026609	2777512726	NA
SRR927056	202	S0811C	S0811C	FPN	S0811	S08	SRP026609	3267041344	NA
SRR927057	202	S0812A	S0812A	PB1	S0812	S08	SRP026609	2412049074	NA
SRR927058	202	S0812B	S0812B	PB2	S0812	S08	SRP026609	2911720920	NA
SRR927059	202	S0812C	S0812C	FPN	S0812	S08	SRP026609	2839039906	NA
SRR927060	202	S0813A	S0813A	PB1	S0813	S08	SRP026609	2208005440	NA
SRR927061	202	S0813B	S0813B	PB2	S0813	S08	SRP026609	3313088658	NA
SRR927062	202	S0813C	S0813C	FPN	S0813	S08	SRP026609	3155602186	NA
SRR927063	202	S0814A	S0814A	PB1	S0814	S08	SRP026609	2124998388	NA
SRR927064	202	S0814B	S0814B	PB2	S0814	S08	SRP026609	3245914972	NA
SRR927065	202	S0815A	S0815A	PB1	S0815	S08	SRP026609	2354245764	NA
SRR927066	202	S0815B	S0815B	PB2	S0815	S08	SRP026609	3490756546	NA
SRR927067	202	S0815C	S0815C	FPN	S0815	S08	SRP026609	2927464800	NA
SRR927068	202	S0816A	S0816A	PB1	S0816	S08	SRP026609	2292266710	NA
SRR927069	202	S0816B	S0816B	PB2	S0816	S08	SRP026609	1838202626	NA
SRR8981924	302	345HS1-1-B	345HS1-1	sperm	NA	345HS1	SRP194057	9278338450	NA
SRR8981961	302	345HS1-2-B	345HS1-2	sperm	NA	345HS1	SRP194057	13098666536	NA
SRR8981958	302	345HS1-3-B	345HS1-3	sperm	NA	345HS1	SRP194057	11397582982	NA
SRR8981957	302	345HS1-4-B	345HS1-4	sperm	NA	345HS1	SRP194057	10845598556	NA
SRR8981960	302	345HS1-5-B	345HS1-5	sperm	NA	345HS1	SRP194057	12875480986	NA
SRR8981959	302	345HS1-6-B	345HS1-6	sperm	NA	345HS1	SRP194057	14382038488	NA
SRR8981954	302	345HS1-7-B	345HS1-7	sperm	NA	345HS1	SRP194057	10099959650	NA
SRR8981953	302	345HS1-8-B	345HS1-8	sperm	NA	345HS1	SRP194057	11601622336	NA
SRR8981928	302	345HS1-9-B	345HS1-9	sperm	NA	345HS1	SRP194057	10732216280	NA
SRR8981925	302	345HS1-10-B	345HS1-10	sperm	NA	345HS1	SRP194057	15780938124	NA
SRR8981922	302	345HS1-11-B	345HS1-11	sperm	NA	345HS1	SRP194057	12673326716	NA
SRR8981923	302	345HS1-13-B	345HS1-13	sperm	NA	345HS1	SRP194057	10841221368	NA
SRR8981920	302	345HS1-14-B	345HS1-14	sperm	NA	345HS1	SRP194057	14102618122	NA
SRR8981921	302	345HS1-15-B	345HS1-15	sperm	NA	345HS1	SRP194057	11248989922	NA
SRR8981918	302	345HS1-16-B	345HS1-16	sperm	NA	345HS1	SRP194057	11700999060	NA
SRR8981919	302	345HS1-18-B	345HS1-18	sperm	NA	345HS1	SRP194057	10649634984	NA
SRR8981962	302	345HS1-19-B	345HS1-19	sperm	NA	345HS1	SRP194057	10770868354	NA
SRR8981964	302	345HS1-20-B	345HS1-20	sperm	NA	345HS1	SRP194057	7832391744	NA
SRR8981963	302	345HS1-23-B	345HS1-23	sperm	NA	345HS1	SRP194057	14307294696	NA
SRR8982064	500	345HS1-1-A	345HS1-1	sperm	NA	345HS1	SRP194057	6153446000	NA
SRR8982031	500	345HS1-2-A	345HS1-2	sperm	NA	345HS1	SRP194057	6562583500	NA
SRR8981992	500	345HS1-3-A	345HS1-3	sperm	NA	345HS1	SRP194057	7055391000	NA
SRR8981989	500	345HS1-4-A	345HS1-4	sperm	NA	345HS1	SRP194057	6527920500	NA
SRR8981990	500	345HS1-5-A	345HS1-5	sperm	NA	345HS1	SRP194057	7514162500	NA
SRR8981905	500	345HS1-6-A	345HS1-6	sperm	NA	345HS1	SRP194057	7755855500	NA
SRR8981988	500	345HS1-7-A	345HS1-7	sperm	NA	345HS1	SRP194057	4480393000	NA
SRR8981985	500	345HS1-8-A	345HS1-8	sperm	NA	345HS1	SRP194057	7345560000	NA
SRR8981986	500	345HS1-9-A	345HS1-9	sperm	NA	345HS1	SRP194057	6234565500	NA
SRR8982037	500	345HS1-10-A	345HS1-10	sperm	NA	345HS1	SRP194057	6316124500	NA
SRR8982036	500	345HS1-11-A	345HS1-11	sperm	NA	345HS1	SRP194057	6846202500	NA
SRR8982035	500	345HS1-13-A	345HS1-13	sperm	NA	345HS1	SRP194057	7125952000	NA
SRR8982034	500	345HS1-14-A	345HS1-14	sperm	NA	345HS1	SRP194057	7192719000	NA
SRR8982041	500	345HS1-15-A	345HS1-15	sperm	NA	345HS1	SRP194057	5068220500	NA
SRR8982040	500	345HS1-16-A	345HS1-16	sperm	NA	345HS1	SRP194057	6798471000	NA
SRR8982039	500	345HS1-18-A	345HS1-18	sperm	NA	345HS1	SRP194057	6275366500	NA
SRR8982038	500	345HS1-19-A	345HS1-19	sperm	NA	345HS1	SRP194057	6442158000	NA
SRR8982030	500	345HS1-20-A	345HS1-20	sperm	NA	345HS1	SRP194057	4486265500	NA
SRR8981991	500	345HS1-23-A	345HS1-23	sperm	NA	345HS1	SRP194057	7066110500	NA
