#dataset_id	mode	accession	alt_accession	donor	sample_type	platform	access	url	notes
# alt_accession: the same study under its other INSDC form (BioProject PRJNA/PRJEB vs
# secondary study SRP/ERP). 'none' = no second accession exists (10x-hosted data that was
# never deposited to INSDC). 'NA' = not yet resolved; run:
#     python fetch_public_scwgs.py --fill-alt-accessions
# which asks ENA for each pair and writes them back here. Do not fill these in by hand.
crc_leung2017	ena	SRP074289	NA	CRC1-CRC2	tumor	ILLUMINA	open	NA	Leung 2017 Genome Res, metastatic colorectal cancer (Navin lab). One run per cell. Several runs are annotated PAIRED but hold single-end reads: pass --infer-library-layout to main.py.
breast_navin2011	ena	SRA018951	NA	T10-T16	tumor	ILLUMINA	open	NA	Navin 2011 Nature, the founding scWGS CNV heatmap (DOP-PCR, FACS ploidy). Single-end. Legacy SRA* submission accession: --fill-alt-accessions is the quickest way to get a form ENA indexes.
tnbc_wang2014	ena	SRA053195	NA	TNBC	tumor	ILLUMINA	open	NA	Wang 2014 Nature, single nucleus genome+exome. Legacy SRA* accession, same caveat as above.
tnbc_gao2016	ena	SRP064210	NA	TNBC	tumor	ILLUMINA	open	NA	Gao 2016 Nat Genet, punctuated copy number evolution (DOP-PCR). Cited as a comparison set by the Navin lab.
all_gawad2014	ena	SRP044380	NA	ALL	tumor	ILLUMINA	open	NA	Gawad 2014 PNAS, acute lymphoblastic leukaemia single cells.
act_minussi2021	ena	PRJNA629885	SRP259526	breast-ACT	tumor	ILLUMINA	open	NA	Minussi 2021 Nature 592:302, ACT: 16178 cells from 8 TNBC (TN1-TN8) + 4 cell lines (MB-231/MB-157/MB-453/BT-20). FACS-DAPI ploidy is an experimental ground truth; scAbsolute reports 59-69 pct wrong-ploidy cells for Ginkgo on TN6/TN8/MB-453. Pair confirmed from the SRA study page.
copykit_metastatic	ena	PRJNA785341	NA	metastatic	tumor	ILLUMINA	open	NA	CopyKit paper (Navin lab), new scDNA-seq of metastatic tumours. Their own integer calls are published alongside.
arcwell_breast	ena	PRJNA799605	NA	breast-FFPE	tumor	ILLUMINA	open	NA	Arc-well FFPE scDNA (Navin lab), cited alongside the sets above as a method comparison.
# --- suspect-heatmap block -------------------------------------------------
# Studies whose PUBLISHED CNV heatmap is likely mis-scaled, most often because the
# pipeline never estimates per-cell ploidy and renders everything against an implicit
# 2n baseline. All open access. Each note states the specific reason and, where one
# exists, the orthogonal ploidy ground truth (FISH, karyotype, matched bulk).
fibro_fish_andriani2019	ena	PRJNA487805	SRP158797	IMR90-T13-T18-T21	cell-line	ILLUMINA	open	NA	Andriani 2019 Sci Rep 9:10508. PicoPLEX + Ginkgo (variable 2.5 Mb bins, global normalisation) benchmarked cell-for-cell against 4-colour interphase FISH -> the strongest FISH-anchored ploidy ground truth in this table. The paper documents its own failure: scL-WGS failed to distinguish between 4n and 8n, both of which were detected as 2n; for ploidy changes scL-WGS sensitivity was 0 pct; senescent IMR-90 scored ~21 pct not-2n by sequencing vs ~47 pct by iFISH (p<0.0001). SUSPECT HEATMAPS: Figs 1-2. Contents: proliferating + senescent IMR-90, trisomy 13/18/21 fibroblasts, mock aneuploid mixtures, and a mouse cerebral-cortex subset - filter by scientific_name before aligning.
gej_duan2021	ena	PRJNA718709	NA	GEJ-Pt1-Pt4	tumor	ILLUMINA	open	NA	Duan 2021 Front Oncol 11:672020 (PMID 34046362). 210 QC-passing MALBAC cells from 4 gastro-oesophageal junction adenocarcinomas, primary tumour + lymph node; 222 runs / 295 Gbases, ~0.1-0.3x per cell. SUSPECT HEATMAPS: Figs 3A, 3C, 4A, 5A. Control-FREEC at 2 Mb bins with no matched normal, CN clamped to the interval 1..4, then log2 and re-centred by subtracting 1 - a hard-coded 2n baseline applied per cell, so displayed values can only span -1..+1. The word ploidy never appears in the paper, and GEJ adenocarcinoma is WGD-prone. Bulk exome of the same tumours is in the SAME BioProject, so ASCAT/Sequenza gives an independent ploidy check.
lung_ctc_ni2013	ena	SRP029757	NA	lungCTC-11pt	tumor	ILLUMINA	open	NA	Ni 2013 PNAS 110:21083. 68 MALBAC CTCs from 11 lung cancer patients (adenocarcinoma + SCLC), 500 kb bins. SUSPECT: CN profiles rendered on an implicit 2n baseline with no per-cell ploidy inference, in tumour types that are frequently whole-genome doubled. Mixed-strategy study: 153 experiments total, only 89 with library_strategy=WGS - filter to WGS, the rest are exome.
hela_ccl2_liu2019	ena	PRJNA529767	NA	HeLa-CCL2	cell-line	ILLUMINA	open	NA	Liu 2019 PLoS ONE 14:e0225466 (Peking Univ). Ground-truth ploidy is stated in the same paper: 85 pct of cells carry 63-70 chromosomes, i.e. hypertriploid ~3n. SUSPECT: the MALBAC CN profiles (Fig 1D) are 200 kb GC-LOWESS bin counts + CBS with no ploidy-scaling step, so a 3n genome is drawn against an implicit 2n mean. CAVEATS: only 20 scDNA cells, and the project holds just 3 experiments (SRX5590898 MALBAC pooled, SRX5590897 + SRX6816968 bulk) so per-cell demultiplexing may be needed; the clustered heatmap Fig 4 is scRNA-inferred, not scWGS. scRNA mirror: GEO GSE129447.
neurons_vandenbos2016_a	ena	E-MTAB-4184	NA	AD-CTRL-cortex	normal	ILLUMINA	open	NA	van den Bos 2016 Genome Biol 17:116 - same lab and pipeline as bakker2016_aneufinder (E-MTAB-4183). 1632 QC-passing pre-amplification-free libraries from frontal cortex: 589 control + 893 Alzheimer neurons, 36 Down-syndrome neurons as a built-in trisomy-21 positive control, ~114 non-neuronal nuclei. AneuFinder HMM at ~1 Mb variable bins; the published heatmap draws states from monosomic to decasomic. Neurons are known 2n, so every non-2n row is a candidate ploidy false positive - the authors retain only 4/589 and 5/893. Use as the known-euploid negative control for false ploidy calls. SINGLE-end. The study is split across E-MTAB-4184 and E-MTAB-4185 and the paper does not say which half is where - pull both.
neurons_vandenbos2016_b	ena	E-MTAB-4185	NA	AD-CTRL-cortex	normal	ILLUMINA	open	NA	Second ArrayExpress accession of van den Bos 2016; see neurons_vandenbos2016_a for the full description and caveats.
