Run	AvgSpotLen	Library Name	Sample Name	sample_type	SRA Study	Bases	Bytes	SEQUENCING_CENTER (run)	isolate	Platform	LibraryLayout
SRR30784707		HG008-T_Ultima-1_SC12	HG008-T Liss_0823p23	cell culture	SRP047086		18791326786	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784708		HG008-T_Ultima-1_SC15	HG008-T Liss_0823p23	cell culture	SRP047086		19664937289	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784709		HG008-T_Ultima-1_SC23	HG008-T Liss_0823p23	cell culture	SRP047086		14878120648	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784710		HG008-T_Ultima-1_SC25	HG008-T Liss_0823p23	cell culture	SRP047086		20007280770	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784711		HG008-T_Ultima-1_SC27	HG008-T Liss_0823p23	cell culture	SRP047086		10431807161	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784712		HG008-T_Ultima-1_SC29	HG008-T Liss_0823p23	cell culture	SRP047086		19829465827	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784713		HG008-T_Ultima-1_SC33	HG008-T Liss_0823p23	cell culture	SRP047086		25838673113	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784714		HG008-T_Ultima-1_SC47	HG008-T Liss_0823p23	cell culture	SRP047086		17917333352	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784715		HG008-T_Ultima-1_SC50	HG008-T Liss_0823p23	cell culture	SRP047086		12099280599	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784716		HG008-T_Ultima-1_SC53	HG008-T Liss_0823p23	cell culture	SRP047086		20461330872	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784717		HG008-T_Ultima-1_SC57	HG008-T Liss_0823p23	cell culture	SRP047086		19107819047	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784718		HG008-T_Ultima-1_SC59	HG008-T Liss_0823p23	cell culture	SRP047086		17656664013	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784719		HG008-T_Ultima-1_SC63	HG008-T Liss_0823p23	cell culture	SRP047086		16971895379	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784720		HG008-T_Ultima-1_SC136	HG008-T Liss_0823p23	cell culture	SRP047086		25321957303	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784721		HG008-T_Ultima-1_SC137	HG008-T Liss_0823p23	cell culture	SRP047086		16085329475	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784722		HG008-T_Ultima-1_SC140	HG008-T Liss_0823p23	cell culture	SRP047086		21422118197	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784723		HG008-T_Ultima-1_SC146	HG008-T Liss_0823p23	cell culture	SRP047086		33089315866	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784724		HG008-T_Ultima-1_SC149	HG008-T Liss_0823p23	cell culture	SRP047086		15121515740	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784725		HG008-T_Ultima-1_SC150	HG008-T Liss_0823p23	cell culture	SRP047086		20976540485	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784726		HG008-T_Ultima-1_SC152	HG008-T Liss_0823p23	cell culture	SRP047086		26385327378	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784727		HG008-T_Ultima-1_SC153	HG008-T Liss_0823p23	cell culture	SRP047086		34113258546	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784728		HG008-T_Ultima-1_SC156	HG008-T Liss_0823p23	cell culture	SRP047086		22088237018	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784729		HG008-T_Ultima-1_SC157	HG008-T Liss_0823p23	cell culture	SRP047086		20303628370	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784730		HG008-T_Ultima-1_SC159	HG008-T Liss_0823p23	cell culture	SRP047086		23530570858	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784731		HG008-T_Ultima-1_SC161	HG008-T Liss_0823p23	cell culture	SRP047086		24881965510	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784732		HG008-T_Ultima-1_SC164	HG008-T Liss_0823p23	cell culture	SRP047086		18145918212	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784733		HG008-T_Ultima-1_SC165	HG008-T Liss_0823p23	cell culture	SRP047086		24070544151	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784734		HG008-T_Ultima-1_SC167	HG008-T Liss_0823p23	cell culture	SRP047086		19436864373	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784735		HG008-T_Ultima-1_SC170	HG008-T Liss_0823p23	cell culture	SRP047086		20548557439	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784736		HG008-T_Ultima-1_SC322	HG008-T Liss_0823p23	cell culture	SRP047086		30460515462	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784737		HG008-T_Ultima-1_SC336	HG008-T Liss_0823p23	cell culture	SRP047086		33467105704	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784738		HG008-T_Ultima-1_SC341	HG008-T Liss_0823p23	cell culture	SRP047086		31868208099	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784739		HG008-T_Ultima-1_SC344	HG008-T Liss_0823p23	cell culture	SRP047086		32524708213	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784740		HG008-T_Ultima-1_SC345	HG008-T Liss_0823p23	cell culture	SRP047086		32200953907	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784741		HG008-T_Ultima-1_SC361	HG008-T Liss_0823p23	cell culture	SRP047086		30494988892	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784742		HG008-T_Ultima-1_SC362	HG008-T Liss_0823p23	cell culture	SRP047086		32448829913	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784743		HG008-T_Ultima-1_SC368	HG008-T Liss_0823p23	cell culture	SRP047086		26356565866	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784744		HG008-T_Ultima-1_SC181	HG008-T Liss_0823p23	cell culture	SRP047086		21075021490	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784745		HG008-T_Ultima-1_SC182	HG008-T Liss_0823p23	cell culture	SRP047086		22853495734	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784746		HG008-T_Ultima-1_SC183	HG008-T Liss_0823p23	cell culture	SRP047086		21039393869	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784747		HG008-T_Ultima-1_SC187	HG008-T Liss_0823p23	cell culture	SRP047086		23068903751	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784748		HG008-T_Ultima-1_SC191	HG008-T Liss_0823p23	cell culture	SRP047086		23159377306	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784749		HG008-T_Ultima-1_SC194	HG008-T Liss_0823p23	cell culture	SRP047086		16250963170	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784750		HG008-T_Ultima-1_SC196	HG008-T Liss_0823p23	cell culture	SRP047086		17113503993	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784751		HG008-T_Ultima-1_SC200	HG008-T Liss_0823p23	cell culture	SRP047086		21216982405	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784752		HG008-T_Ultima-1_SC207	HG008-T Liss_0823p23	cell culture	SRP047086		15194376061	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784753		HG008-T_Ultima-1_SC211	HG008-T Liss_0823p23	cell culture	SRP047086		19379335894	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784754		HG008-T_Ultima-1_SC217	HG008-T Liss_0823p23	cell culture	SRP047086		19815155826	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784755		HG008-T_Ultima-1_SC219	HG008-T Liss_0823p23	cell culture	SRP047086		18404810537	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784756		HG008-T_Ultima-1_SC223	HG008-T Liss_0823p23	cell culture	SRP047086		17538041852	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784757		HG008-T_Ultima-1_SC229	HG008-T Liss_0823p23	cell culture	SRP047086		16838560044	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784758		HG008-T_Ultima-1_SC240	HG008-T Liss_0823p23	cell culture	SRP047086		16247928882	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784759		HG008-T_Ultima-1_SC243	HG008-T Liss_0823p23	cell culture	SRP047086		16780003434	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784760		HG008-T_Ultima-1_SC293	HG008-T Liss_0823p23	cell culture	SRP047086		18187954795	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784761		HG008-T_Ultima-1_SC296	HG008-T Liss_0823p23	cell culture	SRP047086		20481212675	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784762		HG008-T_Ultima-1_SC297	HG008-T Liss_0823p23	cell culture	SRP047086		20482579851	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784763		HG008-T_Ultima-1_SC298	HG008-T Liss_0823p23	cell culture	SRP047086		18804269975	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784764		HG008-T_Ultima-1_SC304	HG008-T Liss_0823p23	cell culture	SRP047086		17342771840	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784765		HG008-T_Ultima-1_SC305	HG008-T Liss_0823p23	cell culture	SRP047086		15815174932	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784766		HG008-T_Ultima-1_SC307	HG008-T Liss_0823p23	cell culture	SRP047086		16117955458	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784767		HG008-T_Ultima-1_SC309	HG008-T Liss_0823p23	cell culture	SRP047086		15057297765	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784768		HG008-T_Ultima-1_SC313	HG008-T Liss_0823p23	cell culture	SRP047086		19874337021	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784769		HG008-T_Ultima-1_SC315	HG008-T Liss_0823p23	cell culture	SRP047086		20960345321	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784770		HG008-T_Ultima-1_SC316	HG008-T Liss_0823p23	cell culture	SRP047086		20991259229	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784771		HG008-T_Ultima-1_SC317	HG008-T Liss_0823p23	cell culture	SRP047086		20686516637	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784772		HG008-T_Ultima-1_SC319	HG008-T Liss_0823p23	cell culture	SRP047086		20839387453	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784773		HG008-T_Ultima-1_SC321	HG008-T Liss_0823p23	cell culture	SRP047086		19217151977	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784774		HG008-T_Ultima-1_SC323	HG008-T Liss_0823p23	cell culture	SRP047086		40899987951	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784775		HG008-T_Ultima-1_SC335	HG008-T Liss_0823p23	cell culture	SRP047086		22469548193	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784776		HG008-T_Ultima-1_SC244	HG008-T Liss_0823p23	cell culture	SRP047086		16560130944	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784777		HG008-T_Ultima-1_SC249	HG008-T Liss_0823p23	cell culture	SRP047086		21305757068	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784778		HG008-T_Ultima-1_SC250	HG008-T Liss_0823p23	cell culture	SRP047086		16137767529	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784779		HG008-T_Ultima-1_SC256	HG008-T Liss_0823p23	cell culture	SRP047086		16110503179	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784780		HG008-T_Ultima-1_SC257	HG008-T Liss_0823p23	cell culture	SRP047086		21559276752	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784781		HG008-T_Ultima-1_SC261	HG008-T Liss_0823p23	cell culture	SRP047086		14606351495	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784782		HG008-T_Ultima-1_SC266	HG008-T Liss_0823p23	cell culture	SRP047086		14404893112	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784783		HG008-T_Ultima-1_SC267	HG008-T Liss_0823p23	cell culture	SRP047086		14522540182	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784784		HG008-T_Ultima-1_SC268	HG008-T Liss_0823p23	cell culture	SRP047086		21974818719	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784785		HG008-T_Ultima-1_SC274	HG008-T Liss_0823p23	cell culture	SRP047086		17171158698	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784786		HG008-T_Ultima-1_SC275	HG008-T Liss_0823p23	cell culture	SRP047086		21409520386	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784787		HG008-T_Ultima-1_SC277	HG008-T Liss_0823p23	cell culture	SRP047086		19096379761	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784788		HG008-T_Ultima-1_SC279	HG008-T Liss_0823p23	cell culture	SRP047086		18570630146	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784789		HG008-T_Ultima-1_SC280	HG008-T Liss_0823p23	cell culture	SRP047086		16681955430	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784790		HG008-T_Ultima-1_SC288	HG008-T Liss_0823p23	cell culture	SRP047086		17284570025	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30784791		HG008-T_Ultima-1_SC289	HG008-T Liss_0823p23	cell culture	SRP047086		18350415894	Bioskryb-Ultima	GIAB HG008	ULTIMA	SINGLE
SRR30713454		HG008-T_ILMN-1_SC01	HG008-T Liss_0823p23	cell culture	SRP047086		45354125	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713455		HG008-T_ILMN-1_SC29	HG008-T Liss_0823p23	cell culture	SRP047086		51533963	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713456		HG008-T_ILMN-1_SC52	HG008-T Liss_0823p23	cell culture	SRP047086		51379689	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713457		HG008-T_ILMN-1_SC81	HG008-T Liss_0823p23	cell culture	SRP047086		54760203	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713458		HG008-T_ILMN-1_SC97	HG008-T Liss_0823p23	cell culture	SRP047086		49790437	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713459		HG008-T_ILMN-1_SC117	HG008-T Liss_0823p23	cell culture	SRP047086		45115215	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713460		HG008-T_ILMN-1_SC137	HG008-T Liss_0823p23	cell culture	SRP047086		50554432	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713461		HG008-T_ILMN-1_SC150	HG008-T Liss_0823p23	cell culture	SRP047086		58783900	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713462		HG008-T_ILMN-1_SC181	HG008-T Liss_0823p23	cell culture	SRP047086		63127112	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713463		HG008-T_ILMN-1_SC200	HG008-T Liss_0823p23	cell culture	SRP047086		78357679	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713464		HG008-T_ILMN-1_SC249	HG008-T Liss_0823p23	cell culture	SRP047086		64728568	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713465		HG008-T_ILMN-1_SC268	HG008-T Liss_0823p23	cell culture	SRP047086		68314467	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713466		HG008-T_ILMN-1_SC03	HG008-T Liss_0823p23	cell culture	SRP047086		47740868	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713467		HG008-T_ILMN-1_SC33	HG008-T Liss_0823p23	cell culture	SRP047086		52157796	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713468		HG008-T_ILMN-1_SC54	HG008-T Liss_0823p23	cell culture	SRP047086		50686920	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713469		HG008-T_ILMN-1_SC83	HG008-T Liss_0823p23	cell culture	SRP047086		52659448	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713470		HG008-T_ILMN-1_SC101	HG008-T Liss_0823p23	cell culture	SRP047086		47875963	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713471		HG008-T_ILMN-1_SC119	HG008-T Liss_0823p23	cell culture	SRP047086		53592526	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713472		HG008-T_ILMN-1_SC136	HG008-T Liss_0823p23	cell culture	SRP047086		54796825	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713473		HG008-T_ILMN-1_SC152	HG008-T Liss_0823p23	cell culture	SRP047086		60781822	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713474		HG008-T_ILMN-1_SC183	HG008-T Liss_0823p23	cell culture	SRP047086		65812939	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713475		HG008-T_ILMN-1_SC211	HG008-T Liss_0823p23	cell culture	SRP047086		64620321	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713476		HG008-T_ILMN-1_SC244	HG008-T Liss_0823p23	cell culture	SRP047086		65821808	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713477		HG008-T_ILMN-1_SC275	HG008-T Liss_0823p23	cell culture	SRP047086		64135354	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713478		HG008-T_ILMN-1_SC15	HG008-T Liss_0823p23	cell culture	SRP047086		53113521	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713479		HG008-T_ILMN-1_SC47	HG008-T Liss_0823p23	cell culture	SRP047086		59331501	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713480		HG008-T_ILMN-1_SC62	HG008-T Liss_0823p23	cell culture	SRP047086		43852165	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713481		HG008-T_ILMN-1_SC85	HG008-T Liss_0823p23	cell culture	SRP047086		66659586	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713482		HG008-T_ILMN-1_SC103	HG008-T Liss_0823p23	cell culture	SRP047086		47751381	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713483		HG008-T_ILMN-1_SC123	HG008-T Liss_0823p23	cell culture	SRP047086		53330378	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713484		HG008-T_ILMN-1_SC140	HG008-T Liss_0823p23	cell culture	SRP047086		42628975	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713485		HG008-T_ILMN-1_SC156	HG008-T Liss_0823p23	cell culture	SRP047086		61071164	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713486		HG008-T_ILMN-1_SC293	HG008-T Liss_0823p23	cell culture	SRP047086		63191487	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713487		HG008-T_ILMN-1_SC313	HG008-T Liss_0823p23	cell culture	SRP047086		61687427	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713488		HG008-T_ILMN-1_SC322	HG008-T Liss_0823p23	cell culture	SRP047086		70610128	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713489		HG008-T_ILMN-1_SC297	HG008-T Liss_0823p23	cell culture	SRP047086		65473691	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713490		HG008-T_ILMN-1_SC315	HG008-T Liss_0823p23	cell culture	SRP047086		64154419	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713491		HG008-T_ILMN-1_SC336	HG008-T Liss_0823p23	cell culture	SRP047086		63689845	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713492		HG008-T_ILMN-1_SC296	HG008-T Liss_0823p23	cell culture	SRP047086		64807832	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
SRR30713493		HG008-T_ILMN-1_SC317	HG008-T Liss_0823p23	cell culture	SRP047086		74151150	BioSkryb Genomics	GIAB HG008	ILLUMINA	PAIRED
